Category,Aldi-Item,Aldi-Link,Aldi-Multiplier,Kroger-Item,Kroger-Link,Kroger-Multiplier,Walmart-Item,Walmart-Link,Walmart-Multiplier,Ruler-Item,Ruler-Link,Ruler-Multiplier
Milk (1gal),Friendly Farms 2% Milk,https://www.instacart.com/store/aldi/products/20957684,1,2% Reduced Fat Milk,https://www.instacart.com/store/kroger/products/152066,1,Great Value 2 Reduced Fat Milk,https://www.instacart.com/store/walmart/products/20630136,1,Kroger 2% Reduced Fat Milk,https://www.instacart.com/store/ruler-foods/products/152066,1
Vinegar (1gal),"Woeber's White Vinegar, Distilled, 5% Acidity",https://www.instacart.com/store/aldi/products/71116,1,Distilled White Vinegar,https://www.instacart.com/store/kroger/products/20149583,1,Great Value Distilled White Vinegar,https://www.instacart.com/store/walmart/products/20605450,1,Distilled White Vinegar,https://www.instacart.com/store/ruler-foods/products/20104139,1
Ground Beef (3lb),73/27 Ground Beef Roll,https://www.instacart.com/store/aldi/products/19763195,1,73/27 Ground Beef Roll,https://www.instacart.com/store/kroger/products/155238,1,"All Natura, 73 Lean/27 Fat, Ground Beef, Roll, 3lbs",https://www.instacart.com/store/walmart/products/20007245,1,Kroger 73% Lean Ground Beef,https://www.instacart.com/store/ruler-foods/products/19216394,1
Bread,L'oven Fresh Honey Wheat Bread,https://www.instacart.com/store/aldi/products/18647726,1,Honey Wheat Bread,https://www.instacart.com/store/kroger/products/22372238,1,Great Value 100% Whole Wheat & Honey Bread,https://www.instacart.com/store/walmart/products/21915264,1,Kroger Wheat Bread,https://www.instacart.com/store/ruler-foods/products/22372244,1
Bagels,L'oven Fresh Blueberry Bagels,https://www.instacart.com/store/aldi/products/20094130,1,Blueberry Bagels,https://www.instacart.com/store/kroger/products/19276137,1,Thomas’ Plain Bagels,https://www.instacart.com/store/walmart/products/2656884,1,Kroger Pre-Sliced Plain Bagels,https://www.instacart.com/store/ruler-foods/products/19377552,1
Avocado,Avocado,https://www.instacart.com/store/aldi/products/3111634,1,Medium Avocado,https://www.instacart.com/store/kroger/products/18426337,1,Avocado,https://www.instacart.com/store/walmart/products/19377183,1,Avocado,https://www.instacart.com/store/ruler-foods/products/3111634,1
Pickles (24oz),Great Gherkins Kosher Dill Spears,https://www.instacart.com/store/aldi/products/20846804,1,Zesty Kosher Dill Pickle Spears,https://www.instacart.com/store/kroger/products/19077976,1,Mt. Olive Kosher Dill Pickle Spear,https://www.instacart.com/store/walmart/products/96503,1,TOPEMS KSHR DLL SPRS,https://www.instacart.com/store/ruler-foods/products/19910668,1
Bbq Sauce (18oz),Burman's Original BBQ Sauce,https://www.instacart.com/store/aldi/products/20989939,1,Sweet & Tangy BBQ Sauce,https://www.instacart.com/store/kroger/products/258070,1,Great Value Original Barbecue Sauce,https://www.instacart.com/store/walmart/products/21884123,1,"Kroger Barbecue Sauce, Original, Traditional",https://www.instacart.com/store/ruler-foods/products/43498,1
Spaghetti Sauce (24oz),"Reggano Tomato, Basil and Garlic Pasta Sauce",https://www.instacart.com/store/aldi/products/21341148,1,Marinara Pasta Sauce,https://www.instacart.com/store/kroger/products/152784,1,Great Value Traditional Pasta Sauce,https://www.instacart.com/store/walmart/products/20667490,1,"Kroger Pasta Sauce, Homestyle, Tomato & Basil",https://www.instacart.com/store/ruler-foods/products/3183848,1
Spaghetti (32oz),Reggano Spaghetti ,https://www.instacart.com/store/aldi/products/19507517,1,Spaghetti,https://www.instacart.com/store/kroger/products/39275,1,Spaghetti (32oz),https://www.instacart.com/store/walmart/products/24738,1,"Kroger Enriched Macaroni Product, Spaghetti",https://www.instacart.com/store/ruler-foods/products/39275,1
